Source,CH1,CH2
Second,Volt,Volt
-0.19380000234,9.20000,0.01200
-0.19375999272,9.12000,0.01600
-0.19371999800,9.12000,0.01600
-0.19367998838,9.12000,0.01600
-0.19363999367,9.12000,0.01600
-0.19359999895,8.96000,0.01600
-0.19355998933,8.96000,0.01600
-0.19351999462,8.80000,0.01600
-0.19347999990,8.80000,0.01200
-0.19343999028,8.64000,0.01600
-0.19339999557,8.56000,0.01600
-0.19336000085,8.48000,0.01600
-0.19331999123,8.40000,0.01600
-0.19327999651,8.24000,0.01600
-0.19324000180,8.16000,0.01200
-0.19319999218,8.00000,0.01200
-0.19315999746,7.92000,0.01600
-0.19311998785,7.84000,0.01600
-0.19307999313,7.68000,0.01600
-0.19303999841,7.60000,0.01200
-0.19299998879,7.52000,0.01200
-0.19295999408,7.36000,0.01600
-0.19291999936,7.28000,0.01600
-0.19287998974,7.20000,0.01600
-0.19283999503,7.12000,0.01600
-0.19280000031,7.04000,0.01600
-0.19275999069,6.96000,0.01600
-0.19271999598,6.88000,0.01200
-0.19268000126,6.72000,0.01200
-0.19263999164,6.72000,0.01600
-0.19259999692,6.64000,0.01600
-0.19256000221,6.56000,0.01600
-0.19251999259,6.56000,0.01200
-0.19247999787,6.40000,0.01200
-0.19243998826,6.40000,0.01200
-0.19239999354,6.32000,0.01600
-0.19235999882,6.24000,0.01200
-0.19231998920,6.08000,0.01200
-0.19227999449,6.08000,0.01600
-0.19223999977,6.00000,0.01600
-0.19219999015,5.92000,0.01200
-0.19215999544,5.92000,0.01200
-0.19212000072,5.76000,0.01200
-0.19207999110,5.68000,0.01200
-0.19203999639,5.60000,0.01200
-0.19200000167,5.44000,0.00800
-0.19195999205,5.28000,0.01200
-0.19191999733,5.28000,0.01200
-0.19187998772,5.12000,0.01600
-0.19183999300,4.96000,0.00800
-0.19179999828,4.80000,0.01200
-0.19175998867,4.80000,0.00800
-0.19171999395,4.64000,0.01200
-0.19167999923,4.56000,0.01200
-0.19163998961,4.40000,0.01200
-0.19159999490,4.32000,0.00800
-0.19156000018,4.16000,0.01200
-0.19151999056,4.00000,0.00800
-0.19147999585,4.00000,0.00800
-0.19144000113,3.84000,0.01200
-0.19139999151,3.76000,0.01200
-0.19135999680,3.52000,0.00800
-0.19132000208,3.52000,0.01200
-0.19127999246,3.36000,0.00800
-0.19123999774,3.36000,0.01200
-0.19119998813,3.20000,0.00800
-0.19115999341,3.20000,0.00800
-0.19111999869,3.04000,0.00800
-0.19107998908,2.88000,0.00800
-0.19103999436,2.80000,0.00800
-0.19099999964,2.72000,0.00800
-0.19095999002,2.64000,0.01200
-0.19091999531,2.48000,0.00800
-0.19088000059,2.40000,0.00800
-0.19083999097,2.24000,0.00800
-0.19079999626,2.16000,0.00800
-0.19076000154,2.08000,0.00800
-0.19071999192,2.08000,0.00800
-0.19067999721,1.84000,0.00800
-0.19064000249,1.76000,0.00800
-0.19059999287,1.60000,0.01200
-0.19055999815,1.44000,0.00800
-0.19051998854,1.44000,0.00800
-0.19047999382,1.28000,0.00800
-0.19043999910,1.12000,0.00800
-0.19039998949,0.96000,0.00800
-0.19035999477,0.88000,0.00800
-0.19032000005,0.80000,0.00800
-0.19027999043,0.64000,0.00400
-0.19023999572,0.56000,0.00800
-0.19020000100,0.48000,0.00800
-0.19015999138,0.24000,0.00800
-0.19011999667,0.16000,0.00800
-0.19008000195,0.00,0.00800
-0.19003999233,0.00,0.00800
-0.18999999762,-0.16000,0.00800
-0.18995998800,-0.32000,0.00800
-0.18991999328,-0.40000,0.00400
-0.18987999856,-0.48000,0.00800
-0.18983998895,-0.64000,0.00800
-0.18979999423,-0.64000,0.00800
-0.18975999951,-0.80000,0.00800
-0.18971998990,-0.96000,0.00400
-0.18967999518,-1.04000,0.00800
-0.18964000046,-1.12000,0.00800
-0.18959999084,-1.20000,0.00800
-0.18955999613,-1.36000,0.00400
-0.18952000141,-1.44000,0.00
-0.18947999179,-1.60000,0.00400
-0.18943999708,-1.68000,0.00400
-0.18940000236,-1.76000,0.00400
-0.18935999274,-1.92000,0.00800
-0.18931999803,-1.92000,0.00400
-0.18927998841,-2.08000,0.00400
-0.18923999369,-2.24000,0.00400
-0.18919999897,-2.40000,0.00400
-0.18915998936,-2.48000,0.00400
-0.18911999464,-2.56000,0.00400
-0.18907999992,-2.72000,0.00
-0.18903999031,-2.80000,0.00
-0.18899999559,-2.96000,0.00
-0.18896000087,-3.04000,0.00
-0.18891999125,-3.12000,0.00
-0.18887999654,-3.28000,0.00
-0.18884000182,-3.52000,0.00
-0.18879999220,-3.52000,0.00
-0.18875999749,-3.68000,0.00400
-0.18871998787,-3.76000,0.00
-0.18867999315,-3.92000,0.00
-0.18863999844,-4.00000,0.00
-0.18859998882,-4.16000,0.00
-0.18855999410,-4.24000,0.00
-0.18851999938,-4.32000,0.00
-0.18847998977,-4.40000,0.00
-0.18843999505,-4.48000,0.00
-0.18840000033,-4.64000,0.00
-0.18835999072,-4.80000,0.00
-0.18831999600,-4.88000,0.00
-0.18828000128,-4.96000,-0.00400
-0.18823999166,-5.04000,0.00
-0.18819999695,-5.12000,0.00
-0.18816000223,-5.20000,0.00
-0.18811999261,-5.28000,0.00
-0.18807999790,-5.44000,0.00
-0.18803998828,-5.44000,0.00
-0.18799999356,-5.60000,0.00
-0.18795999885,-5.60000,0.00
-0.18791998923,-5.68000,0.00
-0.18787999451,-5.76000,-0.00400
-0.18783999979,-5.92000,0.00
-0.18779999018,-5.92000,0.00
-0.18775999546,-6.08000,0.00
-0.18772000074,-6.24000,-0.00400
-0.18767999113,-6.24000,0.00
-0.18763999641,-6.32000,-0.00400
-0.18760000169,-6.40000,0.00
-0.18755999207,-6.48000,0.00
-0.18751999736,-6.56000,-0.00400
-0.18748000264,-6.72000,-0.00400
-0.18743999302,-6.88000,-0.00400
-0.18739999831,-6.88000,-0.00400
-0.18735998869,-6.96000,-0.00400
-0.18731999397,-7.04000,-0.00400
-0.18727999926,-7.12000,-0.00400
-0.18723998964,-7.20000,-0.00400
-0.18719999492,-7.36000,-0.00400
-0.18716000021,-7.36000,-0.00400
-0.18711999059,-7.52000,-0.00400
-0.18707999587,-7.52000,-0.00400
-0.18704000115,-7.60000,-0.00400
-0.18699999154,-7.60000,-0.00400
-0.18695999682,-7.68000,-0.00400
-0.18692000210,-7.76000,-0.00400
-0.18687999249,-7.84000,-0.00400
-0.18683999777,-7.84000,-0.00400
-0.18679998815,-7.92000,0.00
-0.18675999343,-8.00000,-0.00400
-0.18671999872,-8.00000,-0.00400
-0.18667998910,-8.16000,-0.00400
-0.18663999438,-8.16000,-0.00400
-0.18659999967,-8.32000,-0.00400
-0.18655999005,-8.40000,-0.00400
-0.18651999533,-8.48000,-0.00400
-0.18648000062,-8.48000,-0.00400
-0.18643999100,-8.64000,-0.00800
-0.18639999628,-8.64000,-0.00400
-0.18636000156,-8.72000,-0.00400
-0.18631999195,-8.72000,-0.00400
-0.18627999723,-8.80000,-0.00400
-0.18624000251,-8.80000,-0.00400
-0.18619999290,-8.80000,-0.00400
-0.18615999818,-8.88000,-0.00400
-0.18611998856,-8.88000,-0.00400
-0.18607999384,-8.96000,-0.00400
-0.18603999913,-8.96000,-0.00400
-0.18599998951,-8.96000,-0.00800
-0.18595999479,-8.96000,-0.00400
-0.18592000008,-8.96000,-0.00800
-0.18587999046,-8.96000,-0.00400
-0.18583999574,-8.96000,-0.00800
-0.18580000103,-9.04000,-0.00400
-0.18575999141,-9.04000,-0.00400
-0.18571999669,-8.96000,-0.00400
-0.18568000197,-9.04000,-0.00400
-0.18563999236,-9.04000,-0.00400
-0.18559999764,-8.96000,-0.00400
-0.18555998802,-9.04000,-0.00400
-0.18551999331,-9.12000,-0.00400
-0.18547999859,-9.12000,-0.00400
-0.18543998897,-9.12000,-0.00400
-0.18539999425,-9.12000,-0.00800
-0.18535999954,-9.12000,-0.00400
-0.18531998992,-9.12000,-0.00400
-0.18527999520,-9.12000,-0.00400
-0.18524000049,-9.12000,-0.00400
-0.18519999087,-9.12000,-0.00800
-0.18515999615,-9.12000,-0.00800
-0.18512000144,-9.12000,-0.00400
-0.18507999182,-9.12000,-0.00400
-0.18503999710,-9.12000,-0.00400
-0.18500000238,-9.12000,-0.00400
-0.18495999277,-9.12000,-0.00400
-0.18491999805,-9.12000,-0.00800
-0.18487998843,-9.12000,-0.00400
-0.18483999372,-9.12000,-0.00400
-0.18479999900,-9.20000,-0.00400
-0.18475998938,-9.12000,-0.00400
-0.18471999466,-9.12000,-0.00400
-0.18467999995,-9.20000,-0.00400
-0.18463999033,-9.28000,-0.00400
-0.18459999561,-9.20000,-0.00400
-0.18456000090,-9.12000,-0.00400
-0.18451999128,-9.28000,-0.00800
-0.18447999656,-9.28000,-0.00400
-0.18444000185,-9.28000,-0.00400
-0.18439999223,-9.28000,-0.00400
-0.18435999751,-9.28000,-0.00800
-0.18432000279,-9.20000,-0.00800
-0.18427999318,-9.28000,-0.00400
-0.18423999846,-9.28000,-0.00400
-0.18419998884,-9.12000,-0.00400
-0.18415999413,-9.20000,-0.00400
-0.18411999941,-9.12000,-0.00800
-0.18407998979,-9.12000,-0.00400
-0.18403999507,-9.20000,-0.00400
-0.18400000036,-9.20000,-0.00400
-0.18395999074,-9.12000,-0.00400
-0.18391999602,-9.20000,-0.00400
-0.18388000131,-9.12000,-0.00800
-0.18383999169,-9.12000,-0.00400
-0.18379999697,-9.12000,-0.00400
-0.18376000226,-9.12000,-0.00400
-0.18371999264,-9.12000,-0.00800
-0.18367999792,-8.96000,-0.00800
-0.18363998830,-8.96000,-0.00400
-0.18359999359,-8.88000,-0.00400
-0.18355999887,-8.88000,-0.00400
-0.18351998925,-8.80000,-0.00400
-0.18347999454,-8.72000,-0.00400
-0.18343999982,-8.64000,-0.00400
-0.18339999020,-8.48000,-0.00400
-0.18335999548,-8.48000,-0.00400
-0.18332000077,-8.24000,-0.00400
-0.18327999115,-8.16000,-0.00400
-0.18323999643,-8.08000,-0.00400
-0.18320000172,-8.00000,-0.00400
-0.18315999210,-7.84000,-0.00400
-0.18311999738,-7.76000,0.00
